"ensembl_gene_id"	"external_gene_id"	"description"
"555"	"ENSMUSG00000022191"	"Drosha"	"drosha, ribonuclease type III [Source:MGI Symbol;Acc:MGI:1261425]"
"556"	"ENSMUSG00000022193"	"Psmb5"	"proteasome (prosome, macropain) subunit, beta type 5 [Source:MGI Symbol;Acc:MGI:1194513]"
"557"	"ENSMUSG00000022194"	"Pabpn1"	"poly(A) binding protein, nuclear 1 [Source:MGI Symbol;Acc:MGI:1859158]"
"558"	"ENSMUSG00000022201"	"Zfr"	"zinc finger RNA binding protein [Source:MGI Symbol;Acc:MGI:1341890]"
"559"	"ENSMUSG00000022204"	"Ngdn"	"neuroguidin, EIF4E binding protein [Source:MGI Symbol;Acc:MGI:1916216]"
"560"	"ENSMUSG00000022205"	"Sub1"	"SUB1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:104811]"
"561"	"ENSMUSG00000022216"	"Psme1"	"proteasome (prosome, macropain) activator subunit 1 (PA28 alpha) [Source:MGI Symbol;Acc:MGI:1096367]"
"562"	"ENSMUSG00000022228"	"Zscan26"	"zinc finger and SCAN domain containing 26 [Source:MGI Symbol;Acc:MGI:3531417]"
"563"	"ENSMUSG00000022234"	"Cct5"	"chaperonin containing Tcp1, subunit 5 (epsilon) [Source:MGI Symbol;Acc:MGI:107185]"
"564"	"ENSMUSG00000022241"	"Tars"	"threonyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:106314]"
"565"	"ENSMUSG00000022247"	"Brix1"	"BRX1, biogenesis of ribosomes, homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915082]"
"566"	"ENSMUSG00000022255"	"Mtdh"	"metadherin [Source:MGI Symbol;Acc:MGI:1914404]"
"567"	"ENSMUSG00000022283"	"Pabpc1"	"poly(A) binding protein, cytoplasmic 1 [Source:MGI Symbol;Acc:MGI:1349722]"
"568"	"ENSMUSG00000022285"	"Ywhaz"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide [Source:MGI Symbol;Acc:MGI:109484]"
"569"	"ENSMUSG00000022300"	"Dcaf13"	"DDB1 and CUL4 associated factor 13 [Source:MGI Symbol;Acc:MGI:2684929]"
"570"	"ENSMUSG00000022304"	"Dpys"	"dihydropyrimidinase [Source:MGI Symbol;Acc:MGI:1928679]"
"571"	"ENSMUSG00000022306"	"Zfpm2"	"zinc finger protein, multitype 2 [Source:MGI Symbol;Acc:MGI:1334444]"
"572"	"ENSMUSG00000022312"	"Eif3h"	"eukaryotic translation initiation factor 3, subunit H [Source:MGI Symbol;Acc:MGI:1915385]"
"573"	"ENSMUSG00000022313"	"Utp23"	"UTP23, small subunit (SSU) processome component, homolog (yeast) [Source:MGI Symbol;Acc:MGI:1925831]"
"574"	"ENSMUSG00000022323"	"Hrsp12"	"heat-responsive protein 12 [Source:MGI Symbol;Acc:MGI:1095401]"
"575"	"ENSMUSG00000022325"	"Pop1"	"processing of precursor 1, ribonuclease P/MRP family, (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914974]"
"576"	"ENSMUSG00000022332"	"Khdrbs3"	"KH domain containing, RNA binding, signal transduction associated 3 [Source:MGI Symbol;Acc:MGI:1313312]"
"577"	"ENSMUSG00000022336"	"Eif3e"	"eukaryotic translation initiation factor 3, subunit E [Source:MGI Symbol;Acc:MGI:99257]"
"578"	"ENSMUSG00000022370"	"Mrpl13"	"mitochondrial ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:2137218]"
"579"	"ENSMUSG00000022371"	"Col14a1"	"collagen, type XIV, alpha 1 [Source:MGI Symbol;Acc:MGI:1341272]"
"580"	"ENSMUSG00000022390"	"Zc3h7b"	"zinc finger CCCH type containing 7B [Source:MGI Symbol;Acc:MGI:1328310]"
"581"	"ENSMUSG00000022401"	"Xpnpep3"	"X-prolyl aminopeptidase (aminopeptidase P) 3, putative [Source:MGI Symbol;Acc:MGI:2445217]"
"582"	"ENSMUSG00000022407"	"Adsl"	"adenylosuccinate lyase [Source:MGI Symbol;Acc:MGI:103202]"
"583"	"ENSMUSG00000022427"	"Tomm22"	"translocase of outer mitochondrial membrane 22 homolog (yeast) [Source:MGI Symbol;Acc:MGI:2450248]"
"584"	"ENSMUSG00000022433"	"Csnk1e"	"casein kinase 1, epsilon [Source:MGI Symbol;Acc:MGI:1351660]"
"585"	"ENSMUSG00000022443"	"Myh9"	"myosin, heavy polypeptide 9, non-muscle [Source:MGI Symbol;Acc:MGI:107717]"
"586"	"ENSMUSG00000022471"	"Xrcc6"	"X-ray repair complementing defective repair in Chinese hamster cells 6 [Source:MGI Symbol;Acc:MGI:95606]"
"587"	"ENSMUSG00000022483"	"Col2a1"	"collagen, type II, alpha 1 [Source:MGI Symbol;Acc:MGI:88452]"
"588"	"ENSMUSG00000022516"	"Nudt16l1"	"nudix (nucleoside diphosphate linked moiety X)-type motif 16-like 1 [Source:MGI Symbol;Acc:MGI:1914161]"
"589"	"ENSMUSG00000022538"	"Lsg1"	"large subunit GTPase 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:107236]"
"590"	"ENSMUSG00000022551"	"Cyc1"	"cytochrome c-1 [Source:MGI Symbol;Acc:MGI:1913695]"
"591"	"ENSMUSG00000022557"	"Bop1"	"block of proliferation 1 [Source:MGI Symbol;Acc:MGI:1334460]"
"592"	"ENSMUSG00000022565"	"Plec"	"plectin [Source:MGI Symbol;Acc:MGI:1277961]"
"593"	"ENSMUSG00000022575"	"Gsdmd"	"gasdermin D [Source:MGI Symbol;Acc:MGI:1916396]"
"594"	"ENSMUSG00000022601"	"Rpl24"	"ribosomal protein L24 [Source:MGI Symbol;Acc:MGI:1915443]"
"595"	"ENSMUSG00000022614"	"Lmf2"	"lipase maturation factor 2 [Source:MGI Symbol;Acc:MGI:2146015]"
"596"	"ENSMUSG00000022635"	"Zcrb1"	"zinc finger CCHC-type and RNA binding motif 1 [Source:MGI Symbol;Acc:MGI:1914447]"
"597"	"ENSMUSG00000022636"	"Alcam"	"activated leukocyte cell adhesion molecule [Source:MGI Symbol;Acc:MGI:1313266]"
"598"	"ENSMUSG00000022661"	"Cd200"	"CD200 antigen [Source:MGI Symbol;Acc:MGI:1196990]"
"599"	"ENSMUSG00000022672"	"Prkdc"	"protein kinase, DNA activated, catalytic polypeptide [Source:MGI Symbol;Acc:MGI:104779]"
"600"	"ENSMUSG00000022685"	"Parn"	"poly(A)-specific ribonuclease (deadenylation nuclease) [Source:MGI Symbol;Acc:MGI:1921358]"
"601"	"ENSMUSG00000022698"	"Naa50"	"N(alpha)-acetyltransferase 50, NatE catalytic subunit [Source:MGI Symbol;Acc:MGI:1919367]"
"602"	"ENSMUSG00000022706"	"Mrpl40"	"mitochondrial ribosomal protein L40 [Source:MGI Symbol;Acc:MGI:1332635]"
"603"	"ENSMUSG00000022718"	"Dgcr8"	"DiGeorge syndrome critical region gene 8 [Source:MGI Symbol;Acc:MGI:2151114]"
"604"	"ENSMUSG00000022721"	"Trmt2a"	"TRM2 tRNA methyltransferase 2A [Source:MGI Symbol;Acc:MGI:96270]"
"605"	"ENSMUSG00000022724"	"Mina"	"myc induced nuclear antigen [Source:MGI Symbol;Acc:MGI:1914264]"
"606"	"ENSMUSG00000022748"	"Cmss1"	"cms small ribosomal subunit 1 [Source:MGI Symbol;Acc:MGI:1913747]"
"607"	"ENSMUSG00000022774"	"Ncbp2"	"nuclear cap binding protein subunit 2 [Source:MGI Symbol;Acc:MGI:1915342]"
"608"	"ENSMUSG00000022779"	"Top3b"	"topoisomerase (DNA) III beta [Source:MGI Symbol;Acc:MGI:1333803]"
"609"	"ENSMUSG00000022781"	"Pak2"	"p21 protein (Cdc42/Rac)-activated kinase 2 [Source:MGI Symbol;Acc:MGI:1339984]"
"610"	"ENSMUSG00000022792"	"Yars2"	"tyrosyl-tRNA synthetase 2 (mitochondrial) [Source:MGI Symbol;Acc:MGI:1917370]"
"611"	"ENSMUSG00000022797"	"Tfrc"	"transferrin receptor [Source:MGI Symbol;Acc:MGI:98822]"
"612"	"ENSMUSG00000022800"	"Fyttd1"	"forty-two-three domain containing 1 [Source:MGI Symbol;Acc:MGI:1917955]"
"613"	"ENSMUSG00000022821"	"Hgd"	"homogentisate 1, 2-dioxygenase [Source:MGI Symbol;Acc:MGI:96078]"
"614"	"ENSMUSG00000022836"	"Mylk"	"myosin, light polypeptide kinase [Source:MGI Symbol;Acc:MGI:894806]"
"615"	"ENSMUSG00000022858"	"Tra2b"	"transformer 2 beta homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:106016]"
"616"	"ENSMUSG00000022865"	"Cxadr"	"coxsackie virus and adenovirus receptor [Source:MGI Symbol;Acc:MGI:1201679]"
"617"	"ENSMUSG00000022876"	"Samsn1"	"SAM domain, SH3 domain and nuclear localization signals, 1 [Source:MGI Symbol;Acc:MGI:1914992]"
"618"	"ENSMUSG00000022884"	"Eif4a2"	"eukaryotic translation initiation factor 4A2 [Source:MGI Symbol;Acc:MGI:106906]"
"619"	"ENSMUSG00000022889"	"Mrpl39"	"mitochondrial ribosomal protein L39 [Source:MGI Symbol;Acc:MGI:1351620]"
"620"	"ENSMUSG00000022956"	"Atp5o"	"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit [Source:MGI Symbol;Acc:MGI:106341]"
"621"	"ENSMUSG00000022961"	"Son"	"Son DNA binding protein [Source:MGI Symbol;Acc:MGI:98353]"
"622"	"ENSMUSG00000022962"	"Gart"	"phosphoribosylglycinamide formyltransferase [Source:MGI Symbol;Acc:MGI:95654]"
"623"	"ENSMUSG00000022982"	"Sod1"	"superoxide dismutase 1, soluble [Source:MGI Symbol;Acc:MGI:98351]"
"624"	"ENSMUSG00000022983"	"Scaf4"	"SR-related CTD-associated factor 4 [Source:MGI Symbol;Acc:MGI:2146350]"
"625"	"ENSMUSG00000022995"	"Enah"	"enabled homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:108360]"
"626"	"ENSMUSG00000023015"	"Racgap1"	"Rac GTPase-activating protein 1 [Source:MGI Symbol;Acc:MGI:1349423]"
"627"	"ENSMUSG00000023025"	"Larp4"	"La ribonucleoprotein domain family, member 4 [Source:MGI Symbol;Acc:MGI:2443114]"
"628"	"ENSMUSG00000023043"	"Krt18"	"keratin 18 [Source:MGI Symbol;Acc:MGI:96692]"
"629"	"ENSMUSG00000023051"	"Tarbp2"	"TAR (HIV) RNA binding protein 2 [Source:MGI Symbol;Acc:MGI:103027]"
"630"	"ENSMUSG00000023089"	"Ndufa5"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5 [Source:MGI Symbol;Acc:MGI:1915452]"
"631"	"ENSMUSG00000023106"	"Denr"	"density-regulated protein [Source:MGI Symbol;Acc:MGI:1915434]"
"632"	"ENSMUSG00000023175"	"Bsg"	"basigin [Source:MGI Symbol;Acc:MGI:88208]"
"633"	"ENSMUSG00000023277"	"Twf2"	"twinfilin, actin-binding protein, homolog 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:1346078]"
"634"	"ENSMUSG00000023348"	"Trip6"	"thyroid hormone receptor interactor 6 [Source:MGI Symbol;Acc:MGI:1343458]"
"635"	"ENSMUSG00000023456"	"Tpi1"	"triosephosphate isomerase 1 [Source:MGI Symbol;Acc:MGI:98797]"
"636"	"ENSMUSG00000023495"	"Pcbp4"	"poly(rC) binding protein 4 [Source:MGI Symbol;Acc:MGI:1890471]"
"637"	"ENSMUSG00000023723"	"Mrps23"	"mitochondrial ribosomal protein S23 [Source:MGI Symbol;Acc:MGI:1928138]"
"638"	"ENSMUSG00000023832"	"Acat2"	"acetyl-Coenzyme A acetyltransferase 2 [Source:MGI Symbol;Acc:MGI:87871]"
"639"	"ENSMUSG00000023846"	"Riok2"	"RIO kinase 2 (yeast) [Source:MGI Symbol;Acc:MGI:1914295]"
"640"	"ENSMUSG00000023852"	"Chd1"	"chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393]"
"641"	"ENSMUSG00000023861"	"Mpc1"	"mitochondrial pyruvate carrier 1 [Source:MGI Symbol;Acc:MGI:1915240]"
"642"	"ENSMUSG00000023883"	"Phf10"	"PHD finger protein 10 [Source:MGI Symbol;Acc:MGI:1919307]"
"643"	"ENSMUSG00000023902"	"Zscan10"	"zinc finger and SCAN domain containing 10 [Source:MGI Symbol;Acc:MGI:3040700]"
"644"	"ENSMUSG00000023911"	"Flywch2"	"FLYWCH family member 2 [Source:MGI Symbol;Acc:MGI:1924167]"
"645"	"ENSMUSG00000023932"	"Cdc5l"	"cell division cycle 5-like (S. pombe) [Source:MGI Symbol;Acc:MGI:1918952]"
"646"	"ENSMUSG00000023939"	"Mrpl14"	"mitochondrial ribosomal protein L14 [Source:MGI Symbol;Acc:MGI:1333864]"
"647"	"ENSMUSG00000023942"	"Slc29a1"	"solute carrier family 29 (nucleoside transporters), member 1 [Source:MGI Symbol;Acc:MGI:1927073]"
"648"	"ENSMUSG00000023944"	"Hsp90ab1"	"heat shock protein 90 alpha (cytosolic), class B member 1 [Source:MGI Symbol;Acc:MGI:96247]"
"649"	"ENSMUSG00000023967"	"Mrps18a"	"mitochondrial ribosomal protein S18A [Source:MGI Symbol;Acc:MGI:1915815]"
"650"	"ENSMUSG00000023971"	"Rrp36"	"ribosomal RNA processing 36 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2385053]"
"651"	"ENSMUSG00000023988"	"Bysl"	"bystin-like [Source:MGI Symbol;Acc:MGI:1858419]"
"652"	"ENSMUSG00000024026"	"Glo1"	"glyoxalase 1 [Source:MGI Symbol;Acc:MGI:95742]"
"653"	"ENSMUSG00000024038"	"Ndufv3"	"NADH dehydrogenase (ubiquinone) flavoprotein 3 [Source:MGI Symbol;Acc:MGI:1890894]"
"654"	"ENSMUSG00000024045"	"Akap8"	"A kinase (PRKA) anchor protein 8 [Source:MGI Symbol;Acc:MGI:1928488]"
"655"	"ENSMUSG00000024049"	"Myom1"	"myomesin 1 [Source:MGI Symbol;Acc:MGI:1341430]"
"656"	"ENSMUSG00000024056"	"Ndc80"	"NDC80 homolog, kinetochore complex component (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914302]"
"657"	"ENSMUSG00000024067"	"Dpy30"	"dpy-30 homolog (C. elegans) [Source:MGI Symbol;Acc:MGI:1913560]"
"658"	"ENSMUSG00000024079"	"Eif2ak2"	"eukaryotic translation initiation factor 2-alpha kinase 2 [Source:MGI Symbol;Acc:MGI:1353449]"
"659"	"ENSMUSG00000024081"	"Cebpz"	"CCAAT/enhancer binding protein zeta [Source:MGI Symbol;Acc:MGI:109386]"
"660"	"ENSMUSG00000024091"	"Vapa"	"vesicle-associated membrane protein, associated protein A [Source:MGI Symbol;Acc:MGI:1353561]"
"661"	"ENSMUSG00000024095"	"Hnrnpll"	"heterogeneous nuclear ribonucleoprotein L-like [Source:MGI Symbol;Acc:MGI:1919942]"
"662"	"ENSMUSG00000024097"	"Srsf7"	"serine/arginine-rich splicing factor 7 [Source:MGI Symbol;Acc:MGI:1926232]"
"663"	"ENSMUSG00000024104"	"Fam21"	"family with sequence similarity 21 [Source:MGI Symbol;Acc:MGI:106463]"
"664"	"ENSMUSG00000024120"	"Lrpprc"	"leucine-rich PPR-motif containing [Source:MGI Symbol;Acc:MGI:1919666]"
"665"	"ENSMUSG00000024135"	"Srbd1"	"S1 RNA binding domain 1 [Source:MGI Symbol;Acc:MGI:1925836]"
"666"	"ENSMUSG00000024143"	"Rhoq"	"ras homolog gene family, member Q [Source:MGI Symbol;Acc:MGI:1931553]"
"667"	"ENSMUSG00000024151"	"Msh2"	"mutS homolog 2 (E. coli) [Source:MGI Symbol;Acc:MGI:101816]"
"668"	"ENSMUSG00000024165"	"Hn1l"	"hematological and neurological expressed 1-like [Source:MGI Symbol;Acc:MGI:1196260]"
"669"	"ENSMUSG00000024181"	"Mrpl28"	"mitochondrial ribosomal protein L28 [Source:MGI Symbol;Acc:MGI:1915861]"
"670"	"ENSMUSG00000024188"	"Luc7l"	"Luc7 homolog (S. cerevisiae)-like [Source:MGI Symbol;Acc:MGI:1914228]"
"671"	"ENSMUSG00000024190"	"Dusp1"	"dual specificity phosphatase 1 [Source:MGI Symbol;Acc:MGI:105120]"
"672"	"ENSMUSG00000024197"	"Plin3"	"perilipin 3 [Source:MGI Symbol;Acc:MGI:1914155]"
"673"	"ENSMUSG00000024217"	"Snrpc"	"U1 small nuclear ribonucleoprotein C [Source:MGI Symbol;Acc:MGI:109489]"
"674"	"ENSMUSG00000024231"	"Cul2"	"cullin 2 [Source:MGI Symbol;Acc:MGI:1918995]"
"675"	"ENSMUSG00000024234"	"Mtpap"	"mitochondrial poly(A) polymerase [Source:MGI Symbol;Acc:MGI:1914690]"
"676"	"ENSMUSG00000024283"	"Wac"	"WW domain containing adaptor with coiled-coil [Source:MGI Symbol;Acc:MGI:2387357]"
"677"	"ENSMUSG00000024312"	"Wdr46"	"WD repeat domain 46 [Source:MGI Symbol;Acc:MGI:1931871]"
"678"	"ENSMUSG00000024359"	"Hspa9"	"heat shock protein 9 [Source:MGI Symbol;Acc:MGI:96245]"
"679"	"ENSMUSG00000024360"	"Etf1"	"eukaryotic translation termination factor 1 [Source:MGI Symbol;Acc:MGI:2385071]"
"680"	"ENSMUSG00000024369"	"Nelfe"	"negative elongation factor complex member E, Rdbp [Source:MGI Symbol;Acc:MGI:102744]"
"681"	"ENSMUSG00000024381"	"Bin1"	"bridging integrator 1 [Source:MGI Symbol;Acc:MGI:108092]"
"682"	"ENSMUSG00000024392"	"Bag6"	"BCL2-associated athanogene 6 [Source:MGI Symbol;Acc:MGI:1919439]"
"683"	"ENSMUSG00000024393"	"Prrc2a"	"proline-rich coiled-coil 2A [Source:MGI Symbol;Acc:MGI:1915467]"
"684"	"ENSMUSG00000024400"	"Wdr33"	"WD repeat domain 33 [Source:MGI Symbol;Acc:MGI:1921570]"
"685"	"ENSMUSG00000024414"	"Mrpl27"	"mitochondrial ribosomal protein L27 [Source:MGI Symbol;Acc:MGI:2137224]"
"686"	"ENSMUSG00000024422"	"Dhx16"	"DEAH (Asp-Glu-Ala-His) box polypeptide 16 [Source:MGI Symbol;Acc:MGI:1916442]"
"687"	"ENSMUSG00000024423"	"Impact"	"imprinted and ancient [Source:MGI Symbol;Acc:MGI:1098233]"
"688"	"ENSMUSG00000024429"	"Gnl1"	"guanine nucleotide binding protein-like 1 [Source:MGI Symbol;Acc:MGI:95764]"
"689"	"ENSMUSG00000024436"	"Mrps18b"	"mitochondrial ribosomal protein S18B [Source:MGI Symbol;Acc:MGI:1914223]"
"690"	"ENSMUSG00000024456"	"Diap1"	"diaphanous homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1194490]"
"691"	"ENSMUSG00000024474"	"Ik"	"IK cytokine [Source:MGI Symbol;Acc:MGI:1345142]"
"692"	"ENSMUSG00000024483"	"Ankhd1"	"ankyrin repeat and KH domain containing 1 [Source:MGI Symbol;Acc:MGI:1921733]"
"693"	"ENSMUSG00000024491"	"Rbm27"	"RNA binding motif protein 27 [Source:MGI Symbol;Acc:MGI:2147194]"
"694"	"ENSMUSG00000024493"	"Lars"	"leucyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1913808]"
"695"	"ENSMUSG00000024498"	"Tcerg1"	"transcription elongation regulator 1 (CA150) [Source:MGI Symbol;Acc:MGI:1926421]"
"696"	"ENSMUSG00000024507"	"Hsd17b4"	"hydroxysteroid (17-beta) dehydrogenase 4 [Source:MGI Symbol;Acc:MGI:105089]"
"697"	"ENSMUSG00000024528"	"Srfbp1"	"serum response factor binding protein 1 [Source:MGI Symbol;Acc:MGI:1914472]"
"698"	"ENSMUSG00000024570"	"Rbfa"	"ribosome binding factor A [Source:MGI Symbol;Acc:MGI:1915981]"
"699"	"ENSMUSG00000024581"	"Napg"	"N-ethylmaleimide sensitive fusion protein attachment protein gamma [Source:MGI Symbol;Acc:MGI:104561]"
"700"	"ENSMUSG00000024587"	"Nars"	"asparaginyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1917473]"
"701"	"ENSMUSG00000024604"	"Rbm22"	"RNA binding motif protein 22 [Source:MGI Symbol;Acc:MGI:1914060]"
"702"	"ENSMUSG00000024608"	"Rps14"	"ribosomal protein S14 [Source:MGI Symbol;Acc:MGI:98107]"
"703"	"ENSMUSG00000024613"	"Tcof1"	"Treacher Collins Franceschetti syndrome 1, homolog [Source:MGI Symbol;Acc:MGI:892003]"
"704"	"ENSMUSG00000024640"	"Psat1"	"phosphoserine aminotransferase 1 [Source:MGI Symbol;Acc:MGI:2183441]"
"705"	"ENSMUSG00000024661"	"Fth1"	"ferritin heavy chain 1 [Source:MGI Symbol;Acc:MGI:95588]"
"706"	"ENSMUSG00000024665"	"Fads2"	"fatty acid desaturase 2 [Source:MGI Symbol;Acc:MGI:1930079]"
"707"	"ENSMUSG00000024687"	"Osbp"	"oxysterol binding protein [Source:MGI Symbol;Acc:MGI:97447]"
"708"	"ENSMUSG00000024695"	"Zfp91"	"zinc finger protein 91 [Source:MGI Symbol;Acc:MGI:104854]"
"709"	"ENSMUSG00000024732"	"Ccdc86"	"coiled-coil domain containing 86 [Source:MGI Symbol;Acc:MGI:1277220]"
"710"	"ENSMUSG00000024735"	"Prpf19"	"PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:106247]"
"711"	"ENSMUSG00000024740"	"Ddb1"	"damage specific DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1202384]"
"712"	"ENSMUSG00000024742"	"Fen1"	"flap structure specific endonuclease 1 [Source:MGI Symbol;Acc:MGI:102779]"
"713"	"ENSMUSG00000024758"	"Rtn3"	"reticulon 3 [Source:MGI Symbol;Acc:MGI:1339970]"
"714"	"ENSMUSG00000024759"	"Atl3"	"atlastin GTPase 3 [Source:MGI Symbol;Acc:MGI:1924270]"
"715"	"ENSMUSG00000024785"	"Rcl1"	"RNA terminal phosphate cyclase-like 1 [Source:MGI Symbol;Acc:MGI:1913275]"
"716"	"ENSMUSG00000024800"	"Rpp30"	"ribonuclease P/MRP 30 subunit [Source:MGI Symbol;Acc:MGI:1859683]"
"717"	"ENSMUSG00000024812"	"Tjp2"	"tight junction protein 2 [Source:MGI Symbol;Acc:MGI:1341872]"
"718"	"ENSMUSG00000024827"	"Gldc"	"glycine decarboxylase [Source:MGI Symbol;Acc:MGI:1341155]"
"719"	"ENSMUSG00000024829"	"Mrpl21"	"mitochondrial ribosomal protein L21 [Source:MGI Symbol;Acc:MGI:2660674]"
"720"	"ENSMUSG00000024831"	"Ighmbp2"	"immunoglobulin mu binding protein 2 [Source:MGI Symbol;Acc:MGI:99954]"
"721"	"ENSMUSG00000024841"	"Eif1ad"	"eukaryotic translation initiation factor 1A domain containing [Source:MGI Symbol;Acc:MGI:1917110]"
"722"	"ENSMUSG00000024844"	"Banf1"	"barrier to autointegration factor 1 [Source:MGI Symbol;Acc:MGI:1346330]"
"723"	"ENSMUSG00000024847"	"Aip"	"aryl-hydrocarbon receptor-interacting protein [Source:MGI Symbol;Acc:MGI:109622]"
"724"	"ENSMUSG00000024853"	"Sf3b2"	"splicing factor 3b, subunit 2 [Source:MGI Symbol;Acc:MGI:2441856]"
"725"	"ENSMUSG00000024891"	"Slc29a2"	"solute carrier family 29 (nucleoside transporters), member 2 [Source:MGI Symbol;Acc:MGI:1345278]"
"726"	"ENSMUSG00000024892"	"Pcx"	"pyruvate carboxylase [Source:MGI Symbol;Acc:MGI:97520]"
"727"	"ENSMUSG00000024902"	"Mrpl11"	"mitochondrial ribosomal protein L11 [Source:MGI Symbol;Acc:MGI:2137215]"
"728"	"ENSMUSG00000024908"	"Ppp6r3"	"protein phosphatase 6, regulatory subunit 3 [Source:MGI Symbol;Acc:MGI:1921807]"
"729"	"ENSMUSG00000024914"	"Drap1"	"Dr1 associated protein 1 (negative cofactor 2 alpha) [Source:MGI Symbol;Acc:MGI:1913806]"
"730"	"ENSMUSG00000024941"	"Scyl1"	"SCY1-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1931787]"
"731"	"ENSMUSG00000024949"	"Sf1"	"splicing factor 1 [Source:MGI Symbol;Acc:MGI:1095403]"
"732"	"ENSMUSG00000024953"	"Prdx5"	"peroxiredoxin 5 [Source:MGI Symbol;Acc:MGI:1859821]"
"733"	"ENSMUSG00000024966"	"Stip1"	"stress-induced phosphoprotein 1 [Source:MGI Symbol;Acc:MGI:109130]"
"734"	"ENSMUSG00000024969"	"Mark2"	"MAP/microtubule affinity-regulating kinase 2 [Source:MGI Symbol;Acc:MGI:99638]"
"735"	"ENSMUSG00000024975"	"Pdcd4"	"programmed cell death 4 [Source:MGI Symbol;Acc:MGI:107490]"
"736"	"ENSMUSG00000024986"	"Hhex"	"hematopoietically expressed homeobox [Source:MGI Symbol;Acc:MGI:96086]"
"737"	"ENSMUSG00000024991"	"Eif3a"	"eukaryotic translation initiation factor 3, subunit A [Source:MGI Symbol;Acc:MGI:95301]"
"738"	"ENSMUSG00000024997"	"Prdx3"	"peroxiredoxin 3 [Source:MGI Symbol;Acc:MGI:88034]"
"739"	"ENSMUSG00000024999"	"Noc3l"	"nucleolar complex associated 3 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1932610]"
"740"	"ENSMUSG00000025001"	"Hells"	"helicase, lymphoid specific [Source:MGI Symbol;Acc:MGI:106209]"
"741"	"ENSMUSG00000025006"	"Sorbs1"	"sorbin and SH3 domain containing 1 [Source:MGI Symbol;Acc:MGI:700014]"
"742"	"ENSMUSG00000025007"	"Aldh18a1"	"aldehyde dehydrogenase 18 family, member A1 [Source:MGI Symbol;Acc:MGI:1888908]"
"743"	"ENSMUSG00000025016"	"Tm9sf3"	"transmembrane 9 superfamily member 3 [Source:MGI Symbol;Acc:MGI:1914262]"
"744"	"ENSMUSG00000025024"	"Smndc1"	"survival motor neuron domain containing 1 [Source:MGI Symbol;Acc:MGI:1923729]"
"745"	"ENSMUSG00000025047"	"Pdcd11"	"programmed cell death 11 [Source:MGI Symbol;Acc:MGI:1341788]"
"746"	"ENSMUSG00000025068"	"Gsto1"	"glutathione S-transferase omega 1 [Source:MGI Symbol;Acc:MGI:1342273]"
"747"	"ENSMUSG00000025086"	"Trub1"	"TruB pseudouridine (psi) synthase homolog 1 (E. coli) [Source:MGI Symbol;Acc:MGI:1919383]"
"748"	"ENSMUSG00000025130"	"P4hb"	"prolyl 4-hydroxylase, beta polypeptide [Source:MGI Symbol;Acc:MGI:97464]"
"749"	"ENSMUSG00000025132"	"Arhgdia"	"Rho GDP dissociation inhibitor (GDI) alpha [Source:MGI Symbol;Acc:MGI:2178103]"
"750"	"ENSMUSG00000025134"	"Alyref"	"Aly/REF export factor [Source:MGI Symbol;Acc:MGI:1341044]"
"751"	"ENSMUSG00000025153"	"Fasn"	"fatty acid synthase [Source:MGI Symbol;Acc:MGI:95485]"
"752"	"ENSMUSG00000025161"	"Slc16a3"	"solute carrier family 16 (monocarboxylic acid transporters), member 3 [Source:MGI Symbol;Acc:MGI:1933438]"
"753"	"ENSMUSG00000025162"	"Csnk1d"	"casein kinase 1, delta [Source:MGI Symbol;Acc:MGI:1355272]"
"754"	"ENSMUSG00000025190"	"Got1"	"glutamate oxaloacetate transaminase 1, soluble [Source:MGI Symbol;Acc:MGI:95791]"
"755"	"ENSMUSG00000025200"	"Cwf19l1"	"CWF19-like 1, cell cycle control (S. pombe) [Source:MGI Symbol;Acc:MGI:1919752]"
"756"	"ENSMUSG00000025208"	"Mrpl43"	"mitochondrial ribosomal protein L43 [Source:MGI Symbol;Acc:MGI:2137229]"
