"ENSEMBL"	"DESCRIPTION"
"176"	"YEL055C"	"DNA Polymerase phi; has sequence similarity to the human MybBP1A and weak sequence similarity to B-type DNA polymerases, not required for chromosomal DNA replication; required for the synthesis of rRNA"
"177"	"YER002W"	"Constituent of 66S pre-ribosomal particles; involved in 60S ribosomal subunit biogenesis"
"178"	"YER006W"	"GTPase that associates with nuclear 60S pre-ribosomes; required for export of 60S ribosomal subunits from the nucleus"
"179"	"YER008C"	"Subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to sites of exocytosis prior to SNARE-mediated fusion; PtdIns[4,5]P2-binding protein that localizes to exocytic sites in a Rho1p-dependent, actin-independent manner, targeting and anchoring the exocyst to the plasma membrane with Exo70p; direct GTP Rho1p effector; required for ER inheritance; relocalizes away from bud neck upon DNA replication stress"
"180"	"YER013W"	"DEAH-box RNA-dependent ATPase/ATP-dependent RNA helicase; associates with lariat intermediates before the second catalytic step of splicing; mediates ATP-dependent mRNA release from the spliceosome and unwinds RNA duplexes; required for proofreading the exon ligation reaction"
"181"	"YER025W"	"Gamma subunit of the translation initiation factor eIF2; involved in the identification of the start codon; binds GTP when forming the ternary complex with GTP and tRNAi-Met; mutations in human ortholog cause X-linked intellectual disability (XLID)"
"182"	"YER029C"	"Core Sm protein Sm B; part of heteroheptameric complex (with Smd1p, Smd2p, Smd3p, Sme1p, Smx3p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm B and Sm B'"
"183"	"YER031C"	"Rab family GTPase; involved in the exocytic pathway; mediates intra-Golgi traffic or the budding of post-Golgi vesicles from the trans-Golgi; YPT31 has a paralog, YPT32, that arose from the whole genome duplication"
"184"	"YER034W"	"Protein of unknown function; non-essential gene; expression induced upon calcium shortage; protein abundance increases in response to DNA replication stress"
"185"	"YER036C"	"ATPase of the ATP-binding cassette (ABC) family; involved in 40S and 60S ribosome biogenesis, has similarity to Gcn20p; shuttles from nucleus to cytoplasm, physically interacts with Tif6p, Lsg1p"
"186"	"YER043C"	"S-adenosyl-L-homocysteine hydrolase; catabolizes S-adenosyl-L-homocysteine which is formed after donation of the activated methyl group of S-adenosyl-L-methionine (AdoMet) to an acceptor; regulates cellular lipid homoeostasis by regulating phosphatidylcholine(PC)synthesis and triacylglycerol (TG) levels"
"187"	"YER047C"	"Putative ATPase of the AAA family; interacts with the Sin1p transcriptional repressor in the two-hybrid system"
"188"	"YER063W"	"Conserved nuclear RNA-binding protein; specifically binds to transcribed chromatin in a THO- and RNA-dependent manner, genetically interacts with shuttling hnRNP NAB2; overproduction suppresses transcriptional defect caused by hpr1 mutation"
"189"	"YER068W"	"Ubiquitin-protein ligase subunit of the CCR4-NOT complex; with Ubc4p, ubiquitinates nascent polypeptide-associated complex subunits and histone demethyase Jhd2p; CCR4-NOT has roles in transcription regulation, mRNA degradation, and post-transcriptional modifications; regulates levels of DNA Polymerase-{alpha} to promote efficient and accurate DNA replication"
"190"	"YER079W"	"Putative protein of unknown function"
"191"	"YER082C"	"Nucleolar protein; component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA"
"192"	"YER088C"	"Protein involved in rRNA and ribosome biogenesis; binds polymerase A and C motif; subunit of the RPD3L histone deacetylase complex; has chromatin specific SANT domain; involved in telomeric gene silencing and filamentation; DOT6 has a paralog, TOD6, that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress"
"193"	"YER091C"	"Cobalamin-independent methionine synthase; involved in methionine biosynthesis and regeneration; requires a minimum of two glutamates on the methyltetrahydrofolate substrate, similar to bacterial metE homologs"
"194"	"YER110C"	"Karyopherin beta; mediates nuclear import of ribosomal proteins prior to assembly into ribosomes and import of histones H3 and H4; localizes to the nuclear pore, nucleus, and cytoplasm; exhibits genetic interactions with RAI1"
"195"	"YER111C"	"DNA binding component of the SBF complex (Swi4p-Swi6p); a transcriptional activator that in concert with MBF (Mbp1-Swi6p) regulates late G1-specific transcription of targets including cyclins and genes required for DNA synthesis and repair; Slt2p-independent regulator of cold growth; acetylation at two sites, K1016 and K1066, regulates interaction with Swi6p"
"196"	"YER112W"	"Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA; forms cytoplasmic foci upon DNA replication stress"
"197"	"YER122C"	"ADP-ribosylation factor GTPase activating protein (ARF GAP); involved in ER-Golgi transport; shares functional similarity with Gcs1p"
"198"	"YER125W"	"E3 ubiquitin ligase of the NEDD4 family; involved in regulating many cellular processes including MVB sorting, heat shock response, transcription, endocytosis, and ribosome stability; human homolog is involved in Liddle syndrome; mutant tolerates aneuploidy; deubiquitinated by Ubp2p; autoubiquitinates and ubiquitinates Sec23p and Sna3p; required for efficient Golgi-to-ER trafficking in COPI mutants"
"199"	"YER126C"	"Protein constituent of 66S pre-ribosomal particles; contributes to processing of the 27S pre-rRNA"
"200"	"YER137C"	"Putative protein of unknown function"
"201"	"YER142C"	"3-methyl-adenine DNA glycosylase; involved in protecting DNA against alkylating agents; initiates base excision repair by removing damaged bases to create abasic sites that are subsequently repaired; protein abundance increases in response to DNA replication stress"
"202"	"YER146W"	"Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA"
"203"	"YER151C"	"Ubiquitin-specific protease involved in transport and osmotic response; interacts with Bre5p to co-regulate anterograde and retrograde transport between the ER and Golgi; involved in transcription elongation in response to osmostress through phosphorylation at Ser695 by Hog1p; inhibitor of gene silencing; cleaves ubiquitin fusions but not polyubiquitin; also has mRNA binding activity; protein abundance increases in response to DNA replication stress"
"204"	"YER155C"	"Rho GTPase activating protein (RhoGAP); involved in the control of cytoskeleton organization and cellular morphogenesis; required for bud emergence; potential GAP for Rho4p"
"205"	"YER165W"	"Poly(A) binding protein; part of the 3'-end RNA-processing complex, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G"
"206"	"YER176W"	"DNA dependent ATPase/DNA helicase; helicase belonging to the Dna2p- and Nam7p-like family of helicases that is involved in modulating translation termination; interacts with the translation termination factors, localized to polysomes"
"207"	"YER177W"	"14-3-3 protein, major isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of exocytosis, vesicle transport, Ras/MAPK signaling, aggresome formation and rapamycin-sensitive signaling; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; antiapoptotic gene that has a functional 14-3-3 human ortholog; BMH1 has a paralog, BMH2, that arose from whole genome duplication"
"208"	"YFL010C"	"WW domain containing protein of unknown function; binds to Mca1p, a caspase-related protease that regulates H2O2-induced apoptosis; overexpression causes G1 phase growth arrest and clonal death that is suppressed by overexpression of MCA1"
"209"	"YFL014W"	"Plasma membrane protein involved in maintaining membrane organization; involved in maintaining organization during stress conditions; induced by heat shock, oxidative stress, osmostress, stationary phase, glucose depletion, oleate and alcohol; protein abundance increased in response to DNA replication stress and dietary restriction; regulated by the HOG and Ras-Pka pathways; required for dietary restriction-induced lifespan extension"
"210"	"YFL022C"	"Alpha subunit of cytoplasmic phenylalanyl-tRNA synthetase; forms a tetramer with Frs1p to form active enzyme; evolutionarily distant from mitochondrial phenylalanyl-tRNA synthetase based on protein sequence, but substrate binding is similar"
"211"	"YFL023W"	"Unconventional prefoldin protein involved in translation initiation; required for correct assembly of RNAP I, II, and III in an Rpb5p-dependent manner; shuttles between nucleus and cytoplasm; mutants have inappropriate expression of nutrient sensitive genes due to translational derepression of Gcn4p transcription factor; diploid mutants show random budding; ortholog of human URI/RMP"
"212"	"YFL036W"	"Mitochondrial RNA polymerase; single subunit enzyme similar to those of T3 and T7 bacteriophages; requires a specificity subunit encoded by MTF1 for promoter recognition; Mtf1p interacts with and stabilizes the Rpo41p-promoter complex, enhancing DNA bending and melting to facilitate pre-initiation open complex formation"
"213"	"YFL039C"	"Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions"
"214"	"YFL045C"	"Phosphomannomutase; involved in synthesis of GDP-mannose and dolichol-phosphate-mannose; required for folding and glycosylation of secretory proteins in the ER lumen"
"215"	"YFR014C"	"Calmodulin-dependent protein kinase; may play a role in stress response, many Ca++/calmodulin dependent phosphorylation substrates demonstrated in vitro, amino acid sequence similar to mammalian Cam Kinase II; CMK1 has a paralog, CMK2, that arose from the whole genome duplication"
"216"	"YFR016C"	"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and bud; interacts with Spa2p; YFL016C is not an essential gene"
"217"	"YFR024C-A"	"Protein containing a C-terminal SH3 domain; binds Las17p, which is a homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly and actin polymerization; protein abundance increases in response to DNA replication stress; LSB3 has a paralog, YSC84, that arose from the whole genome duplication"
"218"	"YFR031C-A"	"Ribosomal 60S subunit protein L2A; homologous to mammalian ribosomal protein L2 and bacterial L2; RPL2A has a paralog, RPL2B, that arose from the whole genome duplication"
"219"	"YFR031C-A"	"Ribosomal 60S subunit protein L2B; homologous to mammalian ribosomal protein L2 and bacterial L2; RPL2B has a paralog, RPL2A, that arose from the whole genome duplication; expression is upregulated at low temperatures"
"220"	"YFR034C"	"Basic helix-loop-helix (bHLH) transcription factor of the myc-family; activates transcription cooperatively with Pho2p in response to phosphate limitation; binding to 'CACGTG' motif is regulated by chromatin restriction, competitive binding of Cbf1p to the same DNA binding motif and cooperation with Pho2p,; function is regulated by phosphorylation at multiple sites and by phosphate availability"
"221"	"YFR053C"	"Hexokinase isoenzyme 1; a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves hexokinase Hxk2p; HXK1 has a paralog, HXK2, that arose from the whole genome duplication"
"222"	"YGL008C"	"Plasma membrane H+-ATPase; pumps protons out of the cell; major regulator of cytoplasmic pH and plasma membrane potential; P2-type ATPase; Hsp30p plays a role in Pma1p regulation; interactions with Std1p appear to propagate [GAR+]"
"223"	"YGL009C"	"Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway"
"224"	"YGL014W"	"Member of the PUF protein family; PUF family is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors"
"225"	"YGL022W"	"Subunit of the oligosaccharyltransferase complex of the ER lumen; complex catalyzes asparagine-linked glycosylation of newly synthesized proteins; forms a subcomplex with Ost3p and Ost4p and is directly involved in catalysis"
"226"	"YGL026C"	"Tryptophan synthase; catalyzes the last step of tryptophan biosynthesis; regulated by the general control system of amino acid biosynthesis"
"227"	"YGL030W"	"Ribosomal 60S subunit protein L30; involved in pre-rRNA processing in the nucleolus; autoregulates splicing of its transcript; homologous to mammalian ribosomal protein L30, no bacterial homolog"
"228"	"YGL031C"	"Ribosomal 60S subunit protein L24A; not essential for translation but may be required for normal translation rate; homologous to mammalian ribosomal protein L24, no bacterial homolog; RPL24A has a paralog, RPL24B, that arose from the whole genome duplication"
"229"	"YGL037C"	"Nicotinamidase that converts nicotinamide to nicotinic acid; part of the NAD(+) salvage pathway; required for life span extension by calorie restriction; PNC1 expression responds to all known stimuli that extend replicative life span; protein increases in abundance and relative distribution to cytoplasmic foci decreases upon DNA replication stress"
"230"	"YGL078C"	"RNA-Dependent ATPase, member of DExD/H-box family; involved in cleavage of site A3 within the ITS1 spacer during rRNA processing; not essential for growth, but deletion causes severe slow-growth phenotype"
"231"	"YGL099W"	"Putative GTPase involved in 60S ribosomal subunit biogenesis; required for the release of Nmd3p from 60S subunits in the cytoplasm"
"232"	"YGL103W"	"Ribosomal 60S subunit protein L28; homologous to mammalian ribosomal protein L27A and bacterial L15; may have peptidyl transferase activity; can mutate to cycloheximide resistance"
"233"	"YGL105W"	"Protein that binds tRNA and methionyl- and glutamyl-tRNA synthetases; involved in tRNA delivery, stimulating catalysis, and ensuring localization; also binds quadruplex nucleic acids; protein abundance increases in response to DNA replication stress; methionyl-tRNA synthetase is Mes1p; glutamyl-tRNA synthetase is Gus1p"
"234"	"YGL110C"	"Protein of unknown function; has a CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination"
"235"	"YGL120C"	"RNA helicase in the DEAH-box family; functions in both RNA polymerase I and polymerase II transcript metabolism; catalyzes removal of U2, U5, and U6 snRNPs from the postsplicing lariat-intron ribonucleoprotein complex; required for efficient biogenesis of both small- and large-subunit rRNAs; acts with Sqs1p to promote 20S to 18S rRNA processing catalyzed by endonuclease Nob1p"
"236"	"YGL122C"	"Nuclear polyadenylated RNA-binding protein; required for nuclear mRNA export and poly(A) tail length control; binds nuclear pore protein Mlp1p; involved in forming export-competent mRNPs in the nucleus; autoregulates mRNA levels; related to human hnRNPs; nuclear localization sequence binds Kap104p; protein abundance increases in response to DNA replication stress"
"237"	"YGL123W"	"Protein component of the small (40S) subunit; essential for control of translational accuracy; phosphorylation by C-terminal domain kinase I (CTDK-I) enhances translational accuracy; methylated on one or more arginine residues by Hmt1p; homologous to mammalian ribosomal protein S2 and bacterial S5"
"238"	"YGL137W"	"Essential beta'-coat protein of the COPI coatomer; involved in ER-to-Golgi and Golgi-to-ER transport; contains WD40 domains that mediate cargo selective interactions; 45% sequence identity to mammalian beta'-COP"
"239"	"YGL147C"	"Ribosomal 60S subunit protein L9A; homologous to mammalian ribosomal protein L9 and bacterial L6; RPL9A has a paralog, RPL9B, that arose from a single-locus duplication"
"240"	"YGL148W"	"Bifunctional chorismate synthase and flavin reductase; catalyzes the conversion of 5-enolpyruvylshikimate 3-phosphate (EPSP) to form chorismate, which is a precursor to aromatic amino acids; protein abundance increases in response to DNA replication stress"
"241"	"YGL173C"	"Evolutionarily-conserved 5'-3' exonuclease; component of cytoplasmic processing (P) bodies involved in mRNA decay; also enters the nucleus and positively regulates transcription initiation and elongation; plays a role in microtubule-mediated processes, filamentous growth, ribosomal RNA maturation, and telomere maintenance; activated by the scavenger decapping enzyme Dcs1p"
"242"	"YGL178W"	"mRNA-binding protein of the PUF family; binds to the 3' UTR of specific mRNAs, including those involved in mating type switching, cell wall integrity, chronological lifespan, chromatin modification, and spindle pole body architecture; recruits the CCR4-NOT deadenylase complex to mRNAs along with Dhh1p and Dcp1p to promote deadenylation, decapping, and decay; also interacts with the Caf20p translational initiation repressor, affecting its mRNA target specificity"
"243"	"YGL189C"	"Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S26, no bacterial homolog; RPS26A has a paralog, RPS26B, that arose from the whole genome duplication"
"244"	"YGL195W"	"Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA"
"245"	"YGL202W"	"Aromatic aminotransferase I; expression is regulated by general control of amino acid biosynthesis"
"246"	"YGL216W"	"Kinesin-related antiparallel sliding motor protein involved in mitotic spindle positioning; sliding activity promotes bipolar spindle assembly and maintenance of genome stability; also inhibits spindle elongation and promotes spindle disassembly in late anaphase"
"247"	"YGL245W"	"Glutamyl-tRNA synthetase (GluRS); forms a complex with methionyl-tRNA synthetase (Mes1p) and Arc1p; complex formation increases the catalytic efficiency of both tRNA synthetases and ensures their correct localization to the cytoplasm; protein abundance increases in response to DNA replication stress"
"248"	"YGL252C"	"Sensor of mitochondrial dysfunction; regulates the subcellular location of Rtg1p and Rtg3p, transcriptional activators of the retrograde (RTG) and TOR pathways; Rtg2p is inhibited by the phosphorylated form of Mks1p"
"249"	"YGL253W"	"Hexokinase isoenzyme 2; catalyzes phosphorylation of glucose in the cytosol; predominant hexokinase during growth on glucose; functions in the nucleus to repress expression of HXK1 and GLK1 and to induce expression of its own gene; phosphorylation/dephosphorylation at serine-14 by protein kinase Snf1p and protein phosphatase Glc7p-Reg1p regulates nucleocytoplasmic shuttling of Hxk2p; HXK2 has a paralog, HXK1, that arose from the whole genome duplication"
"250"	"YGR013W"	"Component of U1 snRNP required for mRNA splicing via spliceosome; yeast specific, no metazoan counterpart"
"251"	"YGR034W"	"Ribosomal 60S subunit protein L26B; binds to 5.8S rRNA; non-essential even when paralog is also deleted; deletion has minimal affections on ribosome biosynthesis; homologous to mammalian ribosomal protein L26 and bacterial L24; RPL26B has a paralog, RPL26A, that arose from the whole genome duplication"
"252"	"YGR044C"	"Zinc finger protein involved in control of meiosis; prevents meiosis by repressing IME1 expression and promotes mitosis by activating CLN2 expression; directly repressed by a1-alpha2 regulator; mediates cell type control of sporulation; relocalizes from nucleus to cytoplasm upon DNA replication stress"
"253"	"YGR054W"	"Eukaryotic initiation factor (eIF) 2A; associates specifically with both 40S subunits and 80 S ribosomes, and interacts genetically with both eIF5b and eIF4E; homologous to mammalian eIF2A"
"254"	"YGR068C"	"Protein proposed to regulate endocytosis of plasma membrane proteins; regulates by recruiting the ubiquitin ligase Rsp5p to its target in the plasma membrane"
"255"	"YGR072W"	"Component of the nonsense-mediated mRNA decay (NMD) pathway; along with Nam7p and Nmd2p; involved in decay of mRNA containing nonsense codons; involved in telomere maintenance"
"256"	"YGR086C"	"Primary protein component of eisosomes; eisosomes are large immobile cell cortex structures associated with endocytosis; null mutant shows activation of Pkc1p/Ypk1p stress resistance pathways; detected in phosphorylated state in mitochondria; member of the BAR domain family; protein increases in abundance and relocalizes from plasma membrane to cytoplasm upon DNA replication stress"
"257"	"YGR094W"	"Mitochondrial and cytoplasmic valyl-tRNA synthetase"
"258"	"YGR103W"	"Component of several different pre-ribosomal particles; forms a complex with Ytm1p and Erb1p that is required for maturation of the large ribosomal subunit; required for exit from G<sub>0</sub> and the initiation of cell proliferation"
"259"	"YGR116W"	"Nucleosome remodeling protein; functions in various aspects of transcription, chromatin maintenance, and RNA processing; required for the maintenance of chromatin structure during transcription in order to inhibit transcription from promoters within the coding region; required for H3K36 trimethylation but not dimethylation by Set2p"
"260"	"YGR118W"	"Ribosomal protein 28 (rp28) of the small (40S) ribosomal subunit; required for translational accuracy; homologous to mammalian ribosomal protein S23 and bacterial S12; RPS23B has a paralog, RPS23A, that arose from the whole genome duplication; deletion of both RPS23A and RPS23B is lethal"
"261"	"YGR118W"	"Ribosomal protein 28 (rp28) of the small (40S) ribosomal subunit; required for translational accuracy; homologous to mammalian ribosomal protein S23 and bacterial S12; RPS23A has a paralog, RPS23B, that arose from the whole genome duplication; deletion of both RPS23A and RPS23B is lethal"
"262"	"YGR128C"	"Nucleolar protein required for export of tRNAs from the nucleus; also copurifies with the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA"
"263"	"YGR145W"	"Essential nucleolar protein; required for biogenesis of the small ribosomal subunit; contains WD repeats, interacts with Mpp10p and Bfr2p, and has homology to Spb1p"
"264"	"YGR159C"	"Nucleolar protein that binds nuclear localization sequences; required for pre-rRNA processing and ribosome biogenesis"
"265"	"YGR169C-A"	"Putative protein of unknown function; YGR169C-A has a paralog, YJR005C-A, that arose from the whole genome duplication"
"266"	"YGR170W"	"Phosphatidylserine decarboxylase of the Golgi and vacuolar membranes; converts phosphatidylserine to phosphatidylethanolamine; controls vacuolar membrane phospholipid content by regulating phospholipids in compartments that will eventually give rise to the vacuole; loss of Psd2p causes a specific reduction in vacuolar membrane PE levels while total PE levels are not significantly affected"
"267"	"YGR178C"	"Component of glucose deprivation induced stress granules; involved in P-body-dependent granule assembly; similar to human ataxin-2; interacts with Pab1p to regulate mRNA polyadenylation; interacts with Mkt1p to regulate HO translation; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress"
"268"	"YGR192C"	"Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), isozyme 3; involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell wall; GAPDH-derived antimicrobial peptides secreted by S. cerevisiae are active against a wide variety of wine-related yeasts and bateria; TDH3 has a paralog, TDH2, that arose from the whole genome duplication"
"269"	"YGR209C"	"Cytoplasmic thioredoxin isoenzyme; part of thioredoxin system which protects cells against oxidative and reductive stress; forms LMA1 complex with Pbi2p; acts as a cofactor for Tsa1p; required for ER-Golgi transport and vacuole inheritance; with Trx1p, facilitates mitochondrial import of small Tims Tim9p, Tim10p, Tim13p by maintaining them in reduced form; abundance increases under DNA replication stress; TRX2 has a paralog, TRX1, that arose from the whole genome duplication"
"270"	"YGR240C"	"Alpha subunit of heterooctameric phosphofructokinase; involved in glycolysis, indispensable for anaerobic growth, activated by fructose-2,6-bisphosphate and AMP, mutation inhibits glucose induction of cell cycle-related genes"
"271"	"YGR245C"	"Protein required for actin organization and passage through Start; highly conserved nuclear protein; required for actin cytoskeleton organization; plays a critical role in G1 events; binds Nap1p; involved in 60S ribosome biogenesis"
"272"	"YGR250C"	"Putative RNA binding protein; localizes to stress granules induced by glucose deprivation; interacts with Rbg1p in a two-hybrid assay; protein abundance increases in response to DNA replication stress"
"273"	"YGR254W"	"Enolase I, a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression repressed in response to glucose; protein abundance increases in response to DNA replication stress; ENO1 has a paralog, ENO2, that arose from the whole genome duplication"
"274"	"YGR264C"	"Methionyl-tRNA synthetase; forms a complex with glutamyl-tRNA synthetase (Gus1p) and Arc1p, which increases the catalytic efficiency of both tRNA synthetases; also has a role in nuclear export of tRNAs"
"275"	"YGR267C"	"GTP-cyclohydrolase I; catalyzes the first step in the folic acid biosynthetic pathway"
"276"	"YGR271C-A"	"Essential protein required for maturation of 18S rRNA; null mutant is sensitive to hydroxyurea and is delayed in recovering from alpha-factor arrest; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus"
"277"	"YGR271W"	"Putative RNA helicase related to Ski2p; involved in translation inhibition of non-poly(A) mRNAs; required for repressing propagation of dsRNA viruses"
"278"	"YGR278W"	"Spliceosome-associated protein that is required for pre-mRNA splicing; necessary for Prp2p function at the first catalytic step of splicing; has similarity to S. pombe Cwf22p; CWC22 is an essential protein"
"279"	"YGR285C"	"Ribosome-associated chaperone; functions in ribosome biogenesis and, in partnership with Ssz1p and SSb1/2, as a chaperone for nascent polypeptide chains; contains a DnaJ domain and functions as a J-protein partner for Ssb1p and Ssb2p"
"280"	"YHL007C"	"Cdc42p-activated signal transducing kinase; involved in pheromone response, pseudohyphal/invasive growth, vacuole inheritance, down-regulation of sterol uptake; GBB motif binds Ste4p; member of the PAK (p21-activated kinase) family"
"281"	"YHL010C"	"Putative protein of unknown function required for growth on ethanol; contains a zinc finger region and has homology to human BRAP2, which is a cytoplasmic protein that binds nuclear localization sequences"
"282"	"YHL013C"	"Protein of unknown function; may interact with ribosomes, based on co-purification experiments; member of the ovarian tumor-like (OTU) superfamily of predicted cysteine proteases; shows cytoplasmic localization; protein abundance increases in response to DNA replication stress"
"283"	"YHL015W"	"Protein component of the small (40S) ribosomal subunit; overproduction suppresses mutations affecting RNA polymerase III-dependent transcription; homologous to mammalian ribosomal protein S20 and bacterial S10"
"284"	"YHL033C"	"Ribosomal 60S subunit protein L8A; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; L8 binds to Domain I of 25S and 5.8 S rRNAs; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A, no bacterial homolog; RPL8A has a paralog, RPL8B, that arose from the whole genome duplication"
"285"	"YHL034C"	"Protein that binds eIF4G and has a role in repression of translation; has an RGG motif; found in cytoplasmic P bodies; found associated with small nucleolar RNAs snR10 and snR11; SBP1 has a paralog, RNP1, that arose from the whole genome duplication"
"286"	"YHR010W"	"Ribosomal 60S subunit protein L27A; homologous to mammalian ribosomal protein L27, no bacterial homolog; RPL27A has a paralog, RPL27B, that arose from the whole genome duplication"
"287"	"YHR015W"	"Putative RNA-binding protein; interacts with Mex67p, which is a component of the nuclear pore involved in nuclear mRNA export; MIP6 has a paralog, PES4, that arose from the whole genome duplication"
"288"	"YHR019C"	"Cytosolic asparaginyl-tRNA synthetase; required for protein synthesis, catalyzes the specific attachment of asparagine to its cognate tRNA"
"289"	"YHR020W"	"Prolyl-tRNA synthetase; N-terminal domain shows weak homology to prokaryotic posttransfer editing domain, but does not possess posttransfer editing activity; may interact with ribosomes, based on co-purification experiments"
"290"	"YHR025W"	"Homoserine kinase; conserved protein required for threonine biosynthesis; expression is regulated by the GCN4-mediated general amino acid control pathway"
"291"	"YHR039C-A"	"Subunit G of the V1 peripheral membrane domain of V-ATPase; part of the electrogenic proton pump found throughout the endomembrane system; involved in vacuolar acidification; the V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase) has eight subunits"
"292"	"YHR052W"	"Essential protein that interacts with proteasome components; has a potential role in proteasome substrate specificity; also copurifies with 66S pre-ribosomal particles"
"293"	"YHR065C"	"Protein involved in rRNA processing; required for maturation of the 35S primary transcript of pre-rRNA and for cleavage leading to mature 18S rRNA; homologous to eIF-4a, which is a DEAD box RNA-dependent ATPase with helicase activity"
"294"	"YHR069C"	"Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; predicted to contain RNA binding domains; has similarity to human hRrp4p (EXOSC2)"
"295"	"YHR073W"	"Member of an oxysterol-binding protein family; this family has seven members in S. cerevisiae; family members have overlapping, redundant functions in sterol metabolism and collectively perform a function essential for viability"
"296"	"YHR077C"	"Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance"
"297"	"YHR082C"	"Serine/threonine protein kinase; associates with TORC1 and likely involved in TOR signaling cascades; negative regulator of autophagy; nuclear translocation required for haploid filamentous growth; regulates filamentous growth induced nuclear translocation of Bcy1p, Fus3p, and Sks1p; overproduction causes allele-specific suppression of prp20-10; protein abundance increases in response to DNA replication stress"
"298"	"YHR086W"	"RNA binding protein, component of the U1 snRNP protein; mutants are defective in meiotic recombination and in formation of viable spores, involved in the formation of DSBs through meiosis-specific splicing of REC107 pre-mRNA; Nam8p regulon embraces the meiotic pre-mRNAs of REC107, HFM1, AMA1 SPO22 and PCH2; the putative RNA binding domains RRM2 and RRM3 are required for Nam8p meiotic function"
"299"	"YHR088W"	"Protein involved in assembly and export of the large ribosomal subunit; nucleolar protein; constituent of 66S pre-ribosomal particles; contains a sigma(70)-like motif, which is thought to bind RNA"
"300"	"YHR089C"	"Protein component of the H/ACA snoRNP pseudouridylase complex; involved in the modification and cleavage of the 18S pre-rRNA"
"301"	"YHR097C"	"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus; YHR097C has a paralog, PAL1, that arose from the whole genome duplication"
"302"	"YHR108W"	"Protein that regulates Arf1p, Arf2p to facilitate Golgi trafficking; binds phosphatidylinositol 4-phosphate, which plays a role in TGN localization; has homology to gamma-adaptin; GGA2 has a paralog, GGA1, that arose from the whole genome duplication"
"303"	"YHR119W"	"Histone methyltransferase, subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3K4; Set1p-dependent H3K4 trimethylation recruits Nrd1p, allowing efficient termination of snoRNAs and cryptic unstable transcripts (CUTs) by Nrd1p-Nab3p-Sen1p pathway; modulates histone acetylation levels in promoter proximal regions to ensure efficient Nrd1p-dependent termination; required in transcriptional silencing near telomeres and at silent mating type loci; has a SET domain"
"304"	"YHR121W"	"Protein of unknown function that may function in RNA processing; interacts with Pbp1p and Pbp4p and associates with ribosomes; contains an RNA-binding LSM domain and an AD domain; GFP-fusion protein is induced by the DNA-damaging agent MMS; relative distribution to the nucleus increases upon DNA replication stress"
