"EnsemblID"	"Name"	"HeLa"	"description"
"542"	"ENSMUSG00000032435"	"Dync1li1"	"RNAbinding"	"dynein cytoplasmic 1 light intermediate chain 1 [Source:MGI Symbol;Acc:MGI:2135610]"
"546"	"ENSMUSG00000064061"	"Dzip3"	"RNAbinding"	"DAZ interacting protein 3, zinc finger [Source:MGI Symbol;Acc:MGI:1917433]"
"547"	"ENSMUSG00000028729"	"Ebna1bp2"	"RNAbinding"	"EBNA1 binding protein 2 [Source:MGI Symbol;Acc:MGI:1916322]"
"552"	"ENSMUSG00000015092"	"Edf1"	"RNAbinding"	"endothelial differentiation-related factor 1 [Source:MGI Symbol;Acc:MGI:1891227]"
"554"	"ENSMUSG00000037742"	"Eef1a1"	"RNAbinding"	"eukaryotic translation elongation factor 1 alpha 1 [Source:MGI Symbol;Acc:MGI:1096881]"
"559"	"ENSMUSG00000034994"	"Eef2"	"RNAbinding"	"eukaryotic translation elongation factor 2 [Source:MGI Symbol;Acc:MGI:95288]"
"560"	"ENSMUSG00000020929"	"Eftud2"	"RNAbinding"	"elongation factor Tu GTP binding domain containing 2 [Source:MGI Symbol;Acc:MGI:1336880]"
"570"	"ENSMUSG00000036698"	"Eif2c2"	"RNAbinding"	"argonaute RISC catalytic subunit 2 [Source:MGI Symbol;Acc:MGI:2446632]"
"571"	"ENSMUSG00000028842"	"Eif2c3"	"RNAbinding"	"argonaute RISC catalytic subunit 3 [Source:MGI Symbol;Acc:MGI:2446634]"
"573"	"ENSMUSG00000021116"	"Eif2s1"	"RNAbinding"	"eukaryotic translation initiation factor 2, subunit 1 alpha [Source:MGI Symbol;Acc:MGI:95299]"
"574"	"ENSMUSG00000074656"	"Eif2s2"	"RNAbinding"	"eukaryotic translation initiation factor 2, subunit 2 (beta) [Source:MGI Symbol;Acc:MGI:1914454]"
"576"	"ENSMUSG00000024991"	"Eif3a"	"RNAbinding"	"eukaryotic translation initiation factor 3, subunit A [Source:MGI Symbol;Acc:MGI:95301]"
"578"	"ENSMUSG00000030738"	"Eif3c"	"RNAbinding"	"eukaryotic translation initiation factor 3, subunit C [Source:MGI Symbol;Acc:MGI:1926966]"
"579"	"ENSMUSG00000016554"	"Eif3d"	"RNAbinding"	"eukaryotic translation initiation factor 3, subunit D [Source:MGI Symbol;Acc:MGI:1933181]"
"581"	"ENSMUSG00000070319"	"Eif3g"	"RNAbinding"	"eukaryotic translation initiation factor 3, subunit G [Source:MGI Symbol;Acc:MGI:1858258]"
"582"	"ENSMUSG00000022312"	"Eif3h"	"RNAbinding"	"eukaryotic translation initiation factor 3, subunit H [Source:MGI Symbol;Acc:MGI:1915385]"
"586"	"ENSMUSG00000033047"	"Eif3l"	"RNAbinding"	"eukaryotic translation initiation factor 3, subunit L [Source:MGI Symbol;Acc:MGI:2386251]"
"588"	"ENSMUSG00000059796"	"Eif4a1"	"RNAbinding"	"eukaryotic translation initiation factor 4A1 [Source:MGI Symbol;Acc:MGI:95303]"
"589"	"ENSMUSG00000022884"	"Eif4a2"	"RNAbinding"	"eukaryotic translation initiation factor 4A2 [Source:MGI Symbol;Acc:MGI:106906]"
"591"	"ENSMUSG00000058655"	"Eif4b"	"RNAbinding"	"eukaryotic translation initiation factor 4B [Source:MGI Symbol;Acc:MGI:95304]"
"595"	"ENSMUSG00000045983"	"Eif4g1"	"RNAbinding"	"eukaryotic translation initiation factor 4, gamma 1 [Source:MGI Symbol;Acc:MGI:2384784]"
"596"	"ENSMUSG00000005610"	"Eif4g2"	"RNAbinding"	"eukaryotic translation initiation factor 4, gamma 2 [Source:MGI Symbol;Acc:MGI:109207]"
"597"	"ENSMUSG00000028760"	"Eif4g3"	"RNAbinding"	"eukaryotic translation initiation factor 4 gamma, 3 [Source:MGI Symbol;Acc:MGI:1923935]"
"598"	"ENSMUSG00000040731"	"Eif4h"	"RNAbinding"	"eukaryotic translation initiation factor 4H [Source:MGI Symbol;Acc:MGI:1341822]"
"602"	"ENSMUSG00000026083"	"Eif5b"	"RNAbinding"	"eukaryotic translation initiation factor 5B [Source:MGI Symbol;Acc:MGI:2441772]"
"604"	"ENSMUSG00000020549"	"Elac2"	"RNAbinding"	"elaC homolog 2 (E. coli) [Source:MGI Symbol;Acc:MGI:1890496]"
"605"	"ENSMUSG00000040028"	"Elavl1"	"RNAbinding"	"ELAV (embryonic lethal, abnormal vision)-like 1 (Hu antigen R) [Source:MGI Symbol;Acc:MGI:1100851]"
"606"	"ENSMUSG00000008489"	"Elavl2"	"RNAbinding"	"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B) [Source:MGI Symbol;Acc:MGI:1100887]"
"614"	"ENSMUSG00000063524"	"Eno1"	"RNAbinding"	"enolase 1, alpha non-neuron [Source:MGI Symbol;Acc:MGI:95393]"
"624"	"ENSMUSG00000020832"	"Eral1"	"RNAbinding"	"Era (G-protein)-like 1 (E. coli) [Source:MGI Symbol;Acc:MGI:1889295]"
"628"	"ENSMUSG00000033423"	"Eri3"	"RNAbinding"	"exoribonuclease 3 [Source:MGI Symbol;Acc:MGI:2153887]"
"632"	"ENSMUSG00000045624"	"Esf1"	"RNAbinding"	"ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913830]"
"635"	"ENSMUSG00000084128"	"Esrp2"	"RNAbinding"	"epithelial splicing regulatory protein 2 [Source:MGI Symbol;Acc:MGI:1924661]"
"637"	"ENSMUSG00000024360"	"Etf1"	"RNAbinding"	"eukaryotic translation termination factor 1 [Source:MGI Symbol;Acc:MGI:2385071]"
"639"	"ENSMUSG00000009079"	"Ewsr1"	"RNAbinding"	"Ewing sarcoma breakpoint region 1 [Source:MGI Symbol;Acc:MGI:99960]"
"642"	"ENSMUSG00000017264"	"Exosc10"	"RNAbinding"	"exosome component 10 [Source:MGI Symbol;Acc:MGI:1355322]"
"647"	"ENSMUSG00000027714"	"Exosc9"	"RNAbinding"	"exosome component 9 [Source:MGI Symbol;Acc:MGI:1355319]"
"648"	"ENSMUSG00000052397"	"Ezr"	"RNAbinding"	"ezrin [Source:MGI Symbol;Acc:MGI:98931]"
"654"	"ENSMUSG00000038014"	"Fam120a"	"RNAbinding"	"family with sequence similarity 120, member A [Source:MGI Symbol;Acc:MGI:2446163]"
"656"	"ENSMUSG00000025262"	"Fam120c"	"RNAbinding"	"family with sequence similarity 120, member C [Source:MGI Symbol;Acc:MGI:2387687]"
"667"	"ENSMUSG00000032265"	"Fam46a"	"RNAbinding"	"family with sequence similarity 46, member A [Source:MGI Symbol;Acc:MGI:2670964]"
"669"	"ENSMUSG00000002017"	"Fam98a"	"RNAbinding"	"family with sequence similarity 98, member A [Source:MGI Symbol;Acc:MGI:1919972]"
"674"	"ENSMUSG00000025153"	"Fasn"	"RNAbinding"	"fatty acid synthase [Source:MGI Symbol;Acc:MGI:95485]"
"676"	"ENSMUSG00000027086"	"Fastkd1"	"RNAbinding"	"FAST kinase domains 1 [Source:MGI Symbol;Acc:MGI:2444596]"
"677"	"ENSMUSG00000025962"	"Fastkd2"	"RNAbinding"	"FAST kinase domains 2 [Source:MGI Symbol;Acc:MGI:1922869]"
"678"	"ENSMUSG00000021532"	"Fastkd3"	"RNAbinding"	"FAST kinase domains 3 [Source:MGI Symbol;Acc:MGI:1916827]"
"682"	"ENSMUSG00000046865"	"Fbl"	"RNAbinding"	"fibrillarin [Source:MGI Symbol;Acc:MGI:95486]"
"687"	"ENSMUSG00000021243"	"Fcf1"	"RNAbinding"	"FCF1 small subunit (SSU) processome component homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1920986]"
"689"	"ENSMUSG00000059743"	"Fdps"	"RNAbinding"	"farnesyl diphosphate synthetase [Source:MGI Symbol;Acc:MGI:104888]"
"692"	"ENSMUSG00000029227"	"Fip1l1"	"RNAbinding"	"FIP1 like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914149]"
"694"	"ENSMUSG00000020949"	"Fkbp3"	"RNAbinding"	"FK506 binding protein 3 [Source:MGI Symbol;Acc:MGI:1353460]"
"695"	"ENSMUSG00000030357"	"Fkbp4"	"RNAbinding"	"FK506 binding protein 4 [Source:MGI Symbol;Acc:MGI:95543]"
"697"	"ENSMUSG00000031328"	"Flna"	"RNAbinding"	"filamin, alpha [Source:MGI Symbol;Acc:MGI:95556]"
"701"	"ENSMUSG00000023911"	"Flywch2"	"RNAbinding"	"FLYWCH family member 2 [Source:MGI Symbol;Acc:MGI:1924167]"
"702"	"ENSMUSG00000000838"	"Fmr1"	"RNAbinding"	"fragile X mental retardation syndrome 1 [Source:MGI Symbol;Acc:MGI:95564]"
"705"	"ENSMUSG00000033487"	"Fndc3a"	"RNAbinding"	"fibronectin type III domain containing 3A [Source:MGI Symbol;Acc:MGI:1196463]"
"706"	"ENSMUSG00000039286"	"Fndc3b"	"RNAbinding"	"fibronectin type III domain containing 3B [Source:MGI Symbol;Acc:MGI:1919257]"
"707"	"ENSMUSG00000031590"	"Frg1"	"RNAbinding"	"FSHD region gene 1 [Source:MGI Symbol;Acc:MGI:893597]"
"709"	"ENSMUSG00000029581"	"Fscn1"	"RNAbinding"	"fascin homolog 1, actin bundling protein (Strongylocentrotus purpuratus) [Source:MGI Symbol;Acc:MGI:1352745]"
"712"	"ENSMUSG00000020706"	"Ftsj3"	"RNAbinding"	"FtsJ homolog 3 (E. coli) [Source:MGI Symbol;Acc:MGI:1860295]"
"713"	"ENSMUSG00000028034"	"Fubp1"	"RNAbinding"	"far upstream element (FUSE) binding protein 1 [Source:MGI Symbol;Acc:MGI:1196294]"
"714"	"ENSMUSG00000026843"	"Fubp3"	"RNAbinding"	"far upstream element (FUSE) binding protein 3 [Source:MGI Symbol;Acc:MGI:2443699]"
"715"	"ENSMUSG00000030795"	"Fus"	"RNAbinding"	"fused in sarcoma [Source:MGI Symbol;Acc:MGI:1353633]"
"716"	"ENSMUSG00000027680"	"Fxr1"	"RNAbinding"	"fragile X mental retardation gene 1, autosomal homolog [Source:MGI Symbol;Acc:MGI:104860]"
"717"	"ENSMUSG00000018765"	"Fxr2"	"RNAbinding"	"fragile X mental retardation, autosomal homolog 2 [Source:MGI Symbol;Acc:MGI:1346074]"
"719"	"ENSMUSG00000018583"	"G3bp1"	"RNAbinding"	"GTPase activating protein (SH3 domain) binding protein 1 [Source:MGI Symbol;Acc:MGI:1351465]"
"720"	"ENSMUSG00000029405"	"G3bp2"	"RNAbinding"	"GTPase activating protein (SH3 domain) binding protein 2 [Source:MGI Symbol;Acc:MGI:2442040]"
"727"	"ENSMUSG00000071650"	"Ganab"	"RNAbinding"	"alpha glucosidase 2 alpha neutral subunit [Source:MGI Symbol;Acc:MGI:1097667]"
"729"	"ENSMUSG00000028010"	"Gar1"	"RNAbinding"	"GAR1 ribonucleoprotein homolog (yeast) [Source:MGI Symbol;Acc:MGI:1930948]"
"739"	"ENSMUSG00000037275"	"Gemin5"	"RNAbinding"	"gem (nuclear organelle) associated protein 5 [Source:MGI Symbol;Acc:MGI:2449311]"
"740"	"ENSMUSG00000027774"	"Gfm1"	"RNAbinding"	"G elongation factor, mitochondrial 1 [Source:MGI Symbol;Acc:MGI:107339]"
"750"	"ENSMUSG00000031068"	"Glrx3"	"RNAbinding"	"glutaredoxin 3 [Source:MGI Symbol;Acc:MGI:1353653]"
"752"	"ENSMUSG00000041560"	"Gltscr2"	"RNAbinding"	"glioma tumor suppressor candidate region gene 2 [Source:MGI Symbol;Acc:MGI:2154441]"
"755"	"ENSMUSG00000062093"	"Gm10110"	"RNAbinding"	"predicted gene 10110 [Source:MGI Symbol;Acc:MGI:3641718]"
"756"	"ENSMUSG00000062933"	"Gm10123"	"RNAbinding"	"predicted pseudogene 10123 [Source:MGI Symbol;Acc:MGI:3704342]"
"757"	"ENSMUSG00000062279"	"Gm10237"	"RNAbinding"	"predicted gene 10237 [Source:MGI Symbol;Acc:MGI:3641816]"
"758"	"ENSMUSG00000092116"	"Gm10320"	"RNAbinding"	"predicted pseudogene 10320 [Source:MGI Symbol;Acc:MGI:3642323]"
"759"	"ENSMUSG00000071532"	"Gm10335"	"RNAbinding"	"predicted gene 10335 [Source:MGI Symbol;Acc:MGI:3641693]"
"768"	"ENSMUSG00000078087"	"Gm15887"	"RNAbinding"	"ribosomal protein S12-like 1 [Source:MGI Symbol;Acc:MGI:3783241]"
"777"	"ENSMUSG00000092232"	"Gm20521"	"RNAbinding"	"predicted gene 20521 [Source:MGI Symbol;Acc:MGI:5141986]"
"782"	"ENSMUSG00000078305"	"Gm3436"	"RNAbinding"	NA
"784"	"ENSMUSG00000091918"	"Gm4301"	"RNAbinding"	NA
"785"	"ENSMUSG00000091101"	"Gm4302"	"RNAbinding"	"predicted gene 4302 [Source:MGI Symbol;Acc:MGI:3782482]"
"786"	"ENSMUSG00000090421"	"Gm4303"	"RNAbinding"	NA
"787"	"ENSMUSG00000091715"	"Gm4305"	"RNAbinding"	NA
"788"	"ENSMUSG00000091170"	"Gm4307"	"RNAbinding"	NA
"789"	"ENSMUSG00000091145"	"Gm4308"	"RNAbinding"	NA
"790"	"ENSMUSG00000091915"	"Gm4312"	"RNAbinding"	NA
"791"	"ENSMUSG00000090854"	"Gm4340"	"RNAbinding"	"predicted gene 4340 [Source:MGI Symbol;Acc:MGI:3782524]"
"793"	"ENSMUSG00000090538"	"Gm4775"	"RNAbinding"	"predicted gene 4775 [Source:MGI Symbol;Acc:MGI:3647362]"
"794"	"ENSMUSG00000090987"	"Gm4781"	"RNAbinding"	"predicted gene 4781 [Source:MGI Symbol;Acc:MGI:3643164]"
"796"	"ENSMUSG00000070308"	"Gm4893"	"RNAbinding"	NA
"797"	"ENSMUSG00000068113"	"Gm4907"	"RNAbinding"	"predicted gene 4907 [Source:MGI Symbol;Acc:MGI:3648288]"
"799"	"ENSMUSG00000090102"	"Gm4985"	"RNAbinding"	"predicted gene 4985 [Source:MGI Symbol;Acc:MGI:3648554]"
"804"	"ENSMUSG00000055795"	"Gm5160"	"RNAbinding"	"predicted gene 5160 [Source:MGI Symbol;Acc:MGI:3648528]"
"809"	"ENSMUSG00000067657"	"Gm5474"	"RNAbinding"	NA
"810"	"ENSMUSG00000059040"	"Gm5506"	"RNAbinding"	"predicted gene 5506 [Source:MGI Symbol;Acc:MGI:3648653]"
"811"	"ENSMUSG00000060125"	"Gm5528"	"RNAbinding"	NA
"812"	"ENSMUSG00000063692"	"Gm5576"	"RNAbinding"	NA
"815"	"ENSMUSG00000086151"	"Gm5698"	"RNAbinding"	"predicted gene 5698 [Source:MGI Symbol;Acc:MGI:3649020]"
"816"	"ENSMUSG00000087346"	"Gm5699"	"RNAbinding"	"predicted gene 5699 [Source:MGI Symbol;Acc:MGI:3648192]"
"819"	"ENSMUSG00000091233"	"Gm6434"	"RNAbinding"	"predicted gene 6434 [Source:MGI Symbol;Acc:MGI:3648424]"
"821"	"ENSMUSG00000057223"	"Gm6578"	"RNAbinding"	"predicted gene 6578 [Source:MGI Symbol;Acc:MGI:3643037]"
"823"	"ENSMUSG00000091779"	"Gm6763"	"RNAbinding"	"predicted gene 6763 [Source:MGI Symbol;Acc:MGI:3643573]"
"824"	"ENSMUSG00000092086"	"Gm6793"	"RNAbinding"	"predicted gene 6793 [Source:MGI Symbol;Acc:MGI:3643578]"
"825"	"ENSMUSG00000091230"	"Gm6970"	"RNAbinding"	"predicted gene 6970 [Source:MGI Symbol;Acc:MGI:3645322]"
"827"	"ENSMUSG00000048164"	"Gm7204"	"RNAbinding"	"predicted pseudogene 7204 [Source:MGI Symbol;Acc:MGI:3645884]"
"830"	"ENSMUSG00000075609"	"Gm7935"	"RNAbinding"	"predicted pseudogene 7935 [Source:MGI Symbol;Acc:MGI:3646370]"
"835"	"ENSMUSG00000091739"	"Gm8701"	"RNAbinding"	NA
"837"	"ENSMUSG00000091335"	"Gm8766"	"RNAbinding"	NA
"839"	"ENSMUSG00000064081"	"Gm8973"	"RNAbinding"	"predicted gene 8973 [Source:MGI Symbol;Acc:MGI:3648534]"
"841"	"ENSMUSG00000058050"	"Gm9234"	"RNAbinding"	"predicted pseudogene 9234 [Source:MGI Symbol;Acc:MGI:3648545]"
"842"	"ENSMUSG00000044424"	"Gm9493"	"RNAbinding"	"predicted gene 9493 [Source:MGI Symbol;Acc:MGI:3779903]"
"843"	"ENSMUSG00000030735"	"Gm9755"	"RNAbinding"	"predicted pseudogene 9755 [Source:MGI Symbol;Acc:MGI:3642279]"
"845"	"ENSMUSG00000046620"	"Gm9808"	"RNAbinding"	"ribosomal protein S11, pseudogene 4 [Source:MGI Symbol;Acc:MGI:3704389]"
"853"	"ENSMUSG00000020372"	"Gnb2l1"	"RNAbinding"	"guanine nucleotide binding protein (G protein), beta polypeptide 2 like 1 [Source:MGI Symbol;Acc:MGI:101849]"
"855"	"ENSMUSG00000028869"	"Gnl2"	"RNAbinding"	"guanine nucleotide binding protein-like 2 (nucleolar) [Source:MGI Symbol;Acc:MGI:2385207]"
"856"	"ENSMUSG00000042354"	"Gnl3"	"RNAbinding"	"guanine nucleotide binding protein-like 3 (nucleolar) [Source:MGI Symbol;Acc:MGI:1353651]"
"857"	"ENSMUSG00000025266"	"Gnl3l"	"RNAbinding"	"guanine nucleotide binding protein-like 3 (nucleolar)-like [Source:MGI Symbol;Acc:MGI:2448557]"
"860"	"ENSMUSG00000034243"	"Golgb1"	"RNAbinding"	"golgi autoantigen, golgin subfamily b, macrogolgin 1 [Source:MGI Symbol;Acc:MGI:1099447]"
"866"	"ENSMUSG00000028069"	"Gpatch4"	"RNAbinding"	"G patch domain containing 4 [Source:MGI Symbol;Acc:MGI:1913864]"
"872"	"ENSMUSG00000059923"	"Grb2"	"RNAbinding"	"growth factor receptor bound protein 2 [Source:MGI Symbol;Acc:MGI:95805]"
"874"	"ENSMUSG00000034708"	"Grn"	"RNAbinding"	"granulin [Source:MGI Symbol;Acc:MGI:95832]"
"875"	"ENSMUSG00000044221"	"Grsf1"	"RNAbinding"	"G-rich RNA sequence binding factor 1 [Source:MGI Symbol;Acc:MGI:106479]"
"876"	"ENSMUSG00000053801"	"Grwd1"	"RNAbinding"	"glutamate-rich WD repeat containing 1 [Source:MGI Symbol;Acc:MGI:2141989]"
"878"	"ENSMUSG00000062203"	"Gspt1"	"RNAbinding"	"G1 to S phase transition 1 [Source:MGI Symbol;Acc:MGI:1316728]"
"879"	"ENSMUSG00000071723"	"Gspt2"	"RNAbinding"	"G1 to S phase transition 2 [Source:MGI Symbol;Acc:MGI:1316727]"
"886"	"ENSMUSG00000031585"	"Gtf2e2"	"RNAbinding"	"general transcription factor II E, polypeptide 2 (beta subunit) [Source:MGI Symbol;Acc:MGI:1915403]"
"887"	"ENSMUSG00000002658"	"Gtf2f1"	"RNAbinding"	"general transcription factor IIF, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1923848]"
"890"	"ENSMUSG00000042535"	"Gtpbp1"	"RNAbinding"	"GTP binding protein 1 [Source:MGI Symbol;Acc:MGI:109443]"
"891"	"ENSMUSG00000040464"	"Gtpbp10"	"RNAbinding"	"GTP-binding protein 10 (putative) [Source:MGI Symbol;Acc:MGI:2385599]"
"892"	"ENSMUSG00000021149"	"Gtpbp4"	"RNAbinding"	"GTP binding protein 4 [Source:MGI Symbol;Acc:MGI:1916487]"
"900"	"ENSMUSG00000059447"	"Hadhb"	"RNAbinding"	"hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit [Source:MGI Symbol;Acc:MGI:2136381]"
"912"	"ENSMUSG00000034088"	"Hdlbp"	"RNAbinding"	"high density lipoprotein (HDL) binding protein [Source:MGI Symbol;Acc:MGI:99256]"
"913"	"ENSMUSG00000050244"	"Heatr1"	"RNAbinding"	"HEAT repeat containing 1 [Source:MGI Symbol;Acc:MGI:2442524]"
"920"	"ENSMUSG00000020721"	"Helz"	"RNAbinding"	"helicase with zinc finger domain [Source:MGI Symbol;Acc:MGI:1925705]"
"929"	"ENSMUSG00000058773"	"Hist1h1b"	"RNAbinding"	"histone cluster 1, H1b [Source:MGI Symbol;Acc:MGI:1861461]"
"930"	"ENSMUSG00000036181"	"Hist1h1c"	"RNAbinding"	"histone cluster 1, H1c [Source:MGI Symbol;Acc:MGI:1931526]"
"936"	"ENSMUSG00000002428"	"Hltf"	"RNAbinding"	"helicase-like transcription factor [Source:MGI Symbol;Acc:MGI:1196437]"
"942"	"ENSMUSG00000054717"	"Hmgb2"	"RNAbinding"	"high mobility group box 2 [Source:MGI Symbol;Acc:MGI:96157]"
"946"	"ENSMUSG00000007836"	"Hnrnpa0"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein A0 [Source:MGI Symbol;Acc:MGI:1924384]"
"947"	"ENSMUSG00000046434"	"Hnrnpa1"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein A1 [Source:MGI Symbol;Acc:MGI:104820]"
"948"	"ENSMUSG00000004980"	"Hnrnpa2b1"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein A2/B1 [Source:MGI Symbol;Acc:MGI:104819]"
"949"	"ENSMUSG00000059005"	"Hnrnpa3"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein A3 [Source:MGI Symbol;Acc:MGI:1917171]"
"950"	"ENSMUSG00000020358"	"Hnrnpab"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein A/B [Source:MGI Symbol;Acc:MGI:1330294]"
"951"	"ENSMUSG00000060373"	"Hnrnpc"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein C [Source:MGI Symbol;Acc:MGI:107795]"
"952"	"ENSMUSG00000000568"	"Hnrnpd"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein D [Source:MGI Symbol;Acc:MGI:101947]"
"953"	"ENSMUSG00000042079"	"Hnrnpf"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein F [Source:MGI Symbol;Acc:MGI:2138741]"
"955"	"ENSMUSG00000045427"	"Hnrnph2"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein H2 [Source:MGI Symbol;Acc:MGI:1201779]"
"956"	"ENSMUSG00000020069"	"Hnrnph3"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein H3 [Source:MGI Symbol;Acc:MGI:1926462]"
"957"	"ENSMUSG00000021546"	"Hnrnpk"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein K [Source:MGI Symbol;Acc:MGI:99894]"
"958"	"ENSMUSG00000015165"	"Hnrnpl"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein L [Source:MGI Symbol;Acc:MGI:104816]"
"959"	"ENSMUSG00000059208"	"Hnrnpm"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein M [Source:MGI Symbol;Acc:MGI:1926465]"
"960"	"ENSMUSG00000066037"	"Hnrnpr"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein R [Source:MGI Symbol;Acc:MGI:1891692]"
"961"	"ENSMUSG00000039630"	"Hnrnpu"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein U [Source:MGI Symbol;Acc:MGI:1858195]"
"962"	"ENSMUSG00000040725"	"Hnrnpul1"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein U-like 1 [Source:MGI Symbol;Acc:MGI:2443517]"
"963"	"ENSMUSG00000071659"	"Hnrnpul2"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein U-like 2 [Source:MGI Symbol;Acc:MGI:1915943]"
"964"	"ENSMUSG00000029328"	"Hnrpdl"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein D-like [Source:MGI Symbol;Acc:MGI:1355299]"
"965"	"ENSMUSG00000024095"	"Hnrpll"	"RNAbinding"	"heterogeneous nuclear ribonucleoprotein L-like [Source:MGI Symbol;Acc:MGI:1919942]"
"970"	"ENSMUSG00000022323"	"Hrsp12"	"RNAbinding"	"heat-responsive protein 12 [Source:MGI Symbol;Acc:MGI:1095401]"
"975"	"ENSMUSG00000021270"	"Hsp90aa1"	"RNAbinding"	"heat shock protein 90, alpha (cytosolic), class A member 1 [Source:MGI Symbol;Acc:MGI:96250]"
"976"	"ENSMUSG00000023944"	"Hsp90ab1"	"RNAbinding"	"heat shock protein 90 alpha (cytosolic), class B member 1 [Source:MGI Symbol;Acc:MGI:96247]"
"978"	"ENSMUSG00000091971"	"Hspa1a"	"RNAbinding"	"heat shock protein 1A [Source:MGI Symbol;Acc:MGI:96244]"
"979"	"ENSMUSG00000090877"	"Hspa1b"	"RNAbinding"	"heat shock protein 1B [Source:MGI Symbol;Acc:MGI:99517]"
"982"	"ENSMUSG00000015656"	"Hspa8"	"RNAbinding"	"heat shock protein 8 [Source:MGI Symbol;Acc:MGI:105384]"
"983"	"ENSMUSG00000024359"	"Hspa9"	"RNAbinding"	"heat shock protein 9 [Source:MGI Symbol;Acc:MGI:96245]"
"984"	"ENSMUSG00000004951"	"Hspb1"	"RNAbinding"	"heat shock protein 1 [Source:MGI Symbol;Acc:MGI:96240]"
"987"	"ENSMUSG00000025980"	"Hspd1"	"RNAbinding"	"heat shock protein 1 (chaperonin) [Source:MGI Symbol;Acc:MGI:96242]"
"988"	"ENSMUSG00000073676"	"Hspe1"	"RNAbinding"	"heat shock protein 1 (chaperonin 10) [Source:MGI Symbol;Acc:MGI:104680]"
"991"	"ENSMUSG00000067873"	"Htatsf1"	"RNAbinding"	"HIV TAT specific factor 1 [Source:MGI Symbol;Acc:MGI:1919709]"
"992"	"ENSMUSG00000025261"	"Huwe1"	"RNAbinding"	"HECT, UBA and WWE domain containing 1 [Source:MGI Symbol;Acc:MGI:1926884]"
"994"	"ENSMUSG00000078671"	"Chd2"	"RNAbinding"	"chromodomain helicase DNA binding protein 2 [Source:MGI Symbol;Acc:MGI:2448567]"
"995"	"ENSMUSG00000018474"	"Chd3"	"RNAbinding"	"chromodomain helicase DNA binding protein 3 [Source:MGI Symbol;Acc:MGI:1344395]"
"997"	"ENSMUSG00000052488"	"Cherp"	"RNAbinding"	"calcium homeostasis endoplasmic reticulum protein [Source:MGI Symbol;Acc:MGI:106417]"
"1009"	"ENSMUSG00000026535"	"Ifi202b"	"RNAbinding"	"interferon activated gene 202B [Source:MGI Symbol;Acc:MGI:1347083]"
"1010"	"ENSMUSG00000073489"	"Ifi204"	"RNAbinding"	"interferon activated gene 204 [Source:MGI Symbol;Acc:MGI:96429]"
"1011"	"ENSMUSG00000054203"	"Ifi205"	"RNAbinding"	"interferon activated gene 205 [Source:MGI Symbol;Acc:MGI:101847]"
"1012"	"ENSMUSG00000045932"	"Ifit2"	"RNAbinding"	"interferon-induced protein with tetratricopeptide repeats 2 [Source:MGI Symbol;Acc:MGI:99449]"
"1014"	"ENSMUSG00000013415"	"Igf2bp1"	"RNAbinding"	"insulin-like growth factor 2 mRNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1890357]"
"1015"	"ENSMUSG00000033581"	"Igf2bp2"	"RNAbinding"	"insulin-like growth factor 2 mRNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1890358]"
"1016"	"ENSMUSG00000029814"	"Igf2bp3"	"RNAbinding"	"insulin-like growth factor 2 mRNA binding protein 3 [Source:MGI Symbol;Acc:MGI:1890359]"
"1021"	"ENSMUSG00000001016"	"Ilf2"	"RNAbinding"	"interleukin enhancer binding factor 2 [Source:MGI Symbol;Acc:MGI:1915031]"
"1022"	"ENSMUSG00000032178"	"Ilf3"	"RNAbinding"	"interleukin enhancer binding factor 3 [Source:MGI Symbol;Acc:MGI:1339973]"
"1023"	"ENSMUSG00000052337"	"Immt"	"RNAbinding"	"inner membrane protein, mitochondrial [Source:MGI Symbol;Acc:MGI:1923864]"
